ID_STG_MDL,COD_MDL,DES_MDL
17,E02,ADIANTAMENTO DEPOSITANTE
13,B99,OUTROS FINANCIAMENTOS
15,D01,CARTAO DE CREDITO
19,G01,TITULOS DESCONTADOS
2,A02,EMPRESTIMO - CAPITAL DE GIRO
3,A04,EMPRESTIMO - CREDITO PESSOAL
16,E01,CHEQUE ESPECIAL E CONTA GARANTIDA
8,B03,FINANCIAMENTO - IMOBILIARIOS SFH
7,B02,FINANCIAMENTO - IMPORTACAO  E EXPORTACAO
4,A05,EMPRESTIMO - MICROCREDITO
9,B04,FINANCIAMENTO - MICROCREDITO
12,B07,FINANCIAMENTO - ARREENDAMENTO
18,F01,AVAIS E FIANCASA HONRADOS
11,B06,FINANCIAMENTO - IMOBILIARIO (OUTROS)
14,C01,CONSORCIO
1,A01,EMPRESTIMO - CONSIGNADO
10,B05,FINANCIAMENTO - AQUISICAO DE BENS (VEICULOS)
5,A99,OUTROS EMPRESTIMOS
6,B01,FINANCIAMENTO - RURAL E AGROINDUSTRIAL
